Scenario 1 ===============================================================>

Python binary: /home/chaurasi/semesterproject/venvs/venv-graph1/bin/python
Python version: Python 3.10.4
2.8.0+cu128
12.8
True
Training Examples: 412, Val Examples: 40, Test Examples: 48
Elapsed time: 1788.7766 seconds
412
torch.Size([329500, 14])
torch.Size([129900, 14])
torch.Size([172400, 14])
Step 205, Batch Loss: 0.1000, Graph Shape: torch.Size([113600, 14]), target shape: torch.Size([1136, 1])
Step 206, Batch Loss: 0.1122, Graph Shape: torch.Size([113600, 14]), target shape: torch.Size([1136, 1])
Step 207, Batch Loss: 0.1192, Graph Shape: torch.Size([244500, 14]), target shape: torch.Size([2445, 1])
Step 208, Batch Loss: 0.1119, Graph Shape: torch.Size([244600, 14]), target shape: torch.Size([2446, 1])
Step 209, Batch Loss: 0.1182, Graph Shape: torch.Size([244200, 14]), target shape: torch.Size([2442, 1])
Step 210, Batch Loss: 0.1150, Graph Shape: torch.Size([243200, 14]), target shape: torch.Size([2432, 1])
Step 211, Batch Loss: 0.1246, Graph Shape: torch.Size([244500, 14]), target shape: torch.Size([2445, 1])
Step 212, Batch Loss: 0.1513, Graph Shape: torch.Size([244600, 14]), target shape: torch.Size([2446, 1])
Step 213, Batch Loss: 0.1189, Graph Shape: torch.Size([137500, 14]), target shape: torch.Size([1375, 1])
Step 214, Batch Loss: 3.6723, Graph Shape: torch.Size([219600, 14]), target shape: torch.Size([2196, 1])
Step 215, Batch Loss: 0.1143, Graph Shape: torch.Size([245200, 14]), target shape: torch.Size([2452, 1])
Step 216, Batch Loss: 0.2055, Graph Shape: torch.Size([163800, 14]), target shape: torch.Size([1638, 1])
Step 217, Batch Loss: 0.1223, Graph Shape: torch.Size([65300, 14]), target shape: torch.Size([653, 1])
Step 218, Batch Loss: 0.8152, Graph Shape: torch.Size([137600, 14]), target shape: torch.Size([1376, 1])
Step 219, Batch Loss: 0.1281, Graph Shape: torch.Size([479100, 14]), target shape: torch.Size([4791, 1])
Step 220, Batch Loss: 0.1251, Graph Shape: torch.Size([205900, 14]), target shape: torch.Size([2059, 1])
Step 221, Batch Loss: 0.1056, Graph Shape: torch.Size([205700, 14]), target shape: torch.Size([2057, 1])
Step 222, Batch Loss: 0.0991, Graph Shape: torch.Size([205800, 14]), target shape: torch.Size([2058, 1])
Step 223, Batch Loss: 0.2839, Graph Shape: torch.Size([137500, 14]), target shape: torch.Size([1375, 1])
Step 224, Batch Loss: 0.1898, Graph Shape: torch.Size([163200, 14]), target shape: torch.Size([1632, 1])
Step 225, Batch Loss: 0.1503, Graph Shape: torch.Size([54900, 14]), target shape: torch.Size([549, 1])
Step 226, Batch Loss: 0.1650, Graph Shape: torch.Size([54700, 14]), target shape: torch.Size([547, 1])
Step 227, Batch Loss: 0.1936, Graph Shape: torch.Size([130900, 14]), target shape: torch.Size([1309, 1])
Step 228, Batch Loss: 0.1060, Graph Shape: torch.Size([206600, 14]), target shape: torch.Size([2066, 1])
Step 229, Batch Loss: 0.1497, Graph Shape: torch.Size([206200, 14]), target shape: torch.Size([2062, 1])
Step 230, Batch Loss: 0.1345, Graph Shape: torch.Size([207300, 14]), target shape: torch.Size([2073, 1])
Step 231, Batch Loss: 0.1093, Graph Shape: torch.Size([154500, 14]), target shape: torch.Size([1545, 1])
Step 232, Batch Loss: 0.1856, Graph Shape: torch.Size([245300, 14]), target shape: torch.Size([2453, 1])
Step 233, Batch Loss: 0.1912, Graph Shape: torch.Size([149800, 14]), target shape: torch.Size([1498, 1])
Step 234, Batch Loss: 0.2753, Graph Shape: torch.Size([567400, 14]), target shape: torch.Size([5674, 1])
Step 235, Batch Loss: 4.1103, Graph Shape: torch.Size([667900, 14]), target shape: torch.Size([6679, 1])
